entry,date,places,coordinates,lat,lon
jqadiaries-v33-1825-03-07,1825-03-07,Connecticut,"(41.6500201, -72.7342163)",41.6500201,-72.7342163
jqadiaries-v33-1825-03-07,1825-03-07,New-York,"(40.7127281, -74.0060152)",40.7127281,-74.0060152
jqadiaries-v33-1825-03-07,1825-03-07,Alabama,"(33.2588817, -86.8295337)",33.2588817,-86.8295337
jqadiaries-v33-1825-03-07,1825-03-07,Virginia,"(37.1232245, -78.4927721)",37.1232245,-78.4927721
jqadiaries-v33-1825-03-07,1825-03-07,Kentucky,"(37.5726028, -85.1551411)",37.5726028,-85.1551411
jqadiaries-v33-1825-03-07,1825-03-07,City,"(51.5156177, -0.0919983)",51.5156177,-0.0919983
jqadiaries-v33-1825-03-07,1825-03-07,Indiana,"(40.3270127, -86.1746933)",40.3270127,-86.1746933
jqadiaries-v33-1825-03-07,1825-03-07,South-Carolina,"(33.6874388, -80.4363743)",33.6874388,-80.4363743
jqadiaries-v33-1825-03-07,1825-03-07,Georgia,"(32.3293809, -83.1137366)",32.3293809,-83.1137366
jqadiaries-v33-1825-03-07,1825-03-07,Virginia,"(37.1232245, -78.4927721)",37.1232245,-78.4927721
jqadiaries-v33-1825-03-07,1825-03-07,South,"(36.638392, 127.6961188)",36.638392,127.6961188
jqadiaries-v33-1825-03-07,1825-03-07,South,"(36.638392, 127.6961188)",36.638392,127.6961188
jqadiaries-v33-1825-03-08,1825-03-08,Boston,"(42.3602534, -71.0582912)",42.3602534,-71.0582912
jqadiaries-v33-1825-03-08,1825-03-08,Cambridge,"(52.2034823, 0.1235817)",52.2034823,0.1235817
jqadiaries-v33-1825-03-08,1825-03-08,Cincinnati,"(39.1014537, -84.5124602)",39.1014537,-84.5124602
jqadiaries-v33-1825-03-08,1825-03-08,Pennsylvania,"(40.9699889, -77.7278831)",40.9699889,-77.7278831
jqadiaries-v33-1825-03-08,1825-03-08,N.Y.,"(43.1561681, -75.8449946)",43.1561681,-75.8449946
