entry,date,subject,x,y
jqadiaries-v30-1818-11-20,1818-11-20,,0.06866667419672012,4.0507025718688965
jqadiaries-v30-1818-11-21,1818-11-21,,0.5958808660507202,4.21436071395874
jqadiaries-v30-1818-11-22,1818-11-22,,0.824402928352356,2.798448085784912
jqadiaries-v30-1818-11-23,1818-11-23,,-0.2261391431093216,3.307544469833374
jqadiaries-v30-1818-11-24,1818-11-24,,2.7457287311553955,4.183770656585693
jqadiaries-v30-1818-11-25,1818-11-25,,1.3158153295516968,6.659412384033203
jqadiaries-v30-1818-11-26,1818-11-26,,0.9293570518493652,4.822370529174805
jqadiaries-v30-1818-11-27,1818-11-27,,1.7389756441116333,6.0389909744262695
jqadiaries-v30-1818-11-28,1818-11-28,,0.1335584670305252,3.382460355758667
jqadiaries-v30-1818-11-29,1818-11-29,,0.4122028648853302,4.032665252685547
jqadiaries-v30-1818-11-30,1818-11-30,,-0.4291549026966095,3.5773837566375732
jqadiaries-v30-1818-11-xx,1818-11,,0.9072497487068176,6.360119819641113
